,fname,pix_class
365,image12066,3
366,image60685,1
367,image57821,11
368,image26431,16
369,image34050,16
370,image43095,2
371,image38950,12
372,image31676,9
373,image23217,2
374,image49540,12
375,image15158,16
376,image81367,11
377,image25623,12
378,image11274,11
379,image2843,8
380,image43874,4
381,image19858,15
382,image20005,1
383,image4496,3
384,image65842,1
385,image24329,15
386,image57959,16
387,image16232,0
388,image50086,11
389,image30204,11
390,image22665,1
391,image79343,11
392,image13414,2
393,image62804,11
394,image44832,5
395,image17738,16
396,image57831,1
397,image26421,12
398,image12076,16
399,image78721,15
400,image60695,11
401,image71807,13
402,image38940,13
403,image43085,1
404,image49550,4
405,image17650,13
406,image7694,12
407,image15030,16
408,image76841,2
409,image53284,11
410,image21467,0
411,image33006,0
412,image59751,17
413,image68520,12
414,image36620,8
415,image24241,4
416,image50096,0
417,image48122,0
418,image30214,13
419,image57949,0
420,image5815,8
421,image26559,4
422,image34138,13
423,image35432,4
424,image9115,17
425,image73686,1
426,image62814,7
427,image49428,16
428,image12897,3
429,image11264,16
430,image2853,15
431,image25633,16
432,image76939,8
433,image24339,5
434,image36758,3
435,image20015,17
436,image19848,1
437,image32474,15
438,image58323,17
439,image67096,16
440,image59114,4
441,image11559,16
442,image39396,4
443,image20728,12
444,image68365,15
445,image10053,12
446,image36065,3
447,image55814,15
448,image44686,17
449,image729,8
450,image25897,17
451,image12633,16
452,image78164,0
453,image23442,15
454,image29197,0
455,image52852,5
456,image17015,16
457,image60831,7
458,image25076,17
459,image57695,15
460,image74085,4
461,image7830,0
462,image80038,14
463,image32231,17
464,image29976,2
465,image48767,8
466,image30451,4
467,image41841,0
468,image64284,4
469,image67877,17
470,image651,1
471,image27616,12
472,image9750,9
473,image22158,15
474,image78174,3
475,image12623,16
476,image26274,1
477,image34615,8
478,image25887,8
479,image74874,16
480,image13329,5
481,image29187,16
482,image59104,1
483,image67086,1
484,image24414,2
485,image44696,0
486,image73832,2
487,image20738,17
488,image32359,4
489,image10043,8
490,image68375,11
491,image641,16
492,image64294,8
493,image67867,0
494,image16477,3
495,image30441,13
496,image22020,8
497,image41851,1
498,image19784,16
499,image3295,4
500,image9740,17
501,image13251,9
502,image36894,16
503,image25066,1
504,image46817,5
505,image57685,16
506,image11431,16
507,image78995,17
508,image69707,4
509,image58576,1
510,image20640,2
511,image29966,7
512,image74095,17
513,image80028,0
514,image23724,17
515,image31345,0
516,image14980,12
517,image56818,2
518,image27408,0
519,image35069,13
520,image45973,16
521,image34563,0
522,image26102,4
523,image8044,0
524,image63945,17
525,image18080,2
526,image68003,5
527,image10335,13
528,image3902,13
529,image58778,2
530,image80226,0
531,image77868,0
532,image75791,9
533,image42935,12
534,image69509,3
535,image33525,13
536,image59272,13
537,image55393,11
538,image56960,8
539,image77089,1
540,image29389,12
541,image79670,1
542,image70956,13
543,image28683,16
544,image48401,17
545,image14161,11
546,image35888,12
547,image77910,17
548,image11747,5
549,image39188,11
550,image1783,1
551,image25310,2
552,image80236,4
553,image56191,17
554,image68013,4
555,image42925,12
556,image59262,0
557,image18909,12
558,image21154,2
559,image25278,16
560,image56808,4
561,image17363,17
562,image35079,9
563,image27418,5
564,image4954,4
565,image65580,8
566,image31355,3
567,image23734,1
568,image8054,11
569,image78212,15
570,image39979,4
571,image48569,11
572,image2581,14
573,image46390,16
574,image16669,4
575,image26112,17
576,image34573,0
577,image38492,4
578,image51936,8
579,image32147,8
580,image66792,8
581,image35898,8
582,image67298,16
583,image11757,15
584,image39198,15
585,image1793,2
586,image79660,4
587,image13137,17
588,image29399,13
589,image55383,4
590,image56970,16
591,image77099,17
592,image54689,13
593,image16711,2
594,image30727,1
595,image22346,5
596,image48411,7
597,image17526,9
598,image31510,8
599,image23171,0
600,image73488,4
601,image49626,11
602,image1937,16
603,image8611,1
604,image78457,0
605,image50298,13
606,image12300,0
607,image26757,2
608,image4688,1
609,image10560,7
610,image63689,16
611,image59427,13
612,image30983,11
613,image21711,3
614,image28837,0
615,image41593,11
616,image5382,8
617,image81179,8
618,image15346,1
619,image9263,7
620,image13772,4
621,image27325,11
622,image35744,3
623,image75925,12
624,image16154,1
625,image22503,1
626,image53913,1
627,image61808,17
628,image58055,0
629,image23990,3
630,image20363,13
631,image6809,4
632,image37124,12
633,image54955,2
634,image71390,3
635,image33208,16
636,image61960,4
637,image62393,17
638,image40089,4
639,image10570,3
640,image24127,2
641,image47956,17
642,image5392,0
643,image15356,2
644,image59437,11
645,image51782,11
646,image40910,16
647,image34326,15
648,image1927,7
649,image12310,2
650,image78447,4
651,image8601,13
652,image50288,12
653,image14724,13
654,image23980,1
655,image32712,0
656,image52590,2
657,image33218,12
658,image21679,2
659,image71380,5
660,image25555,0
661,image6819,17
662,image54945,6
663,image35754,5
664,image61181,13
665,image23019,12
666,image48244,16
667,image22513,0
668,image30172,5
669,image53903,2
670,image75935,13
671,image24155,17
672,image32618,11
673,image61912,17
674,image10502,13
675,image21773,12
676,image59445,3
677,image72879,8
678,image28855,16
679,image6913,2
680,image7580,1
681,image17544,1
682,image23113,9
683,image43391,0
684,image9379,1
685,image1955,2
686,image60581,17
687,image22419,0
688,image12362,1
689,image78435,4
690,image34354,13
691,image32760,0
692,image62299,1
693,image40183,17
694,image14756,0
695,image25527,12
696,image37146,16
697,image5298,13
698,image72901,5
699,image63793,5
700,image9201,4
701,image51688,16
702,image27347,1
703,image35726,0
704,image72098,16
705,image22561,11
706,image53971,13
707,image49654,5
708,image43381,15
709,image9369,5
710,image40972,1
711,image13678,17
712,image66944,4
713,image26725,16
714,image30068,16
715,image1945,0
716,image78425,13
717,image61902,12
718,image32608,3
719,image68624,1
720,image36524,1
721,image24145,2
722,image15334,13
723,image72869,0
724,image33302,15
725,image11018,15
726,image28845,1
727,image35736,12
728,image27357,8
729,image73582,8
730,image79057,12
731,image51698,1
732,image22571,0
733,image72088,16
734,image53961,1
735,image310,16
736,image75957,10
737,image14746,15
738,image80579,5
739,image62289,4
740,image58027,4
741,image32770,11
742,image40193,16
743,image30889,4
744,image11160,12
745,image41499,16
746,image5288,4
747,image37156,17
748,image38598,4
749,image68061,8
750,image3960,3
751,image49988,2
752,image80244,8
753,image44582,16
754,image66698,1
755,image15571,11
756,image42957,15
757,image59210,16
758,image29293,17
759,image23746,17
760,image17311,15
761,image77193,3
762,image54783,11
763,image45911,13
764,image78260,17
765,image77972,8
766,image24678,17
767,image36219,8
768,image58662,14
769,image3818,16
770,image32135,5
771,image11725,11
772,image69413,0
773,image57591,11
774,image64819,11
775,image37713,11
776,image17269,4
777,image35173,13
778,image79612,12
779,image13145,15
780,image3181,3
781,image22334,17
782,image48463,0
783,image26018,4
784,image17301,13
785,image55299,16
786,image77183,12
787,image49001,17
788,image12527,17
789,image28789,4
790,image54793,5
791,image45901,13
792,image76489,12
793,image44592,3
794,image24710,0
795,image66688,1
796,image38588,17
797,image3970,1
798,image42947,13
799,image21136,8
800,image64971,12
801,image67382,3
802,image13155,17
803,image79602,0
804,image70924,17
805,image49179,11
806,image3191,12
807,image17279,1
808,image35163,0
809,image16773,4
810,image45879,0
811,image64190,12
812,image34469,16
813,image545,17
814,image78308,12
815,image30745,16
816,image22324,4
817,image68109,1
818,image3808,4
819,image58672,16
820,image14113,4
821,image36209,13
822,image24668,17
823,image74391,8
824,image26991,4
825,image37703,17
826,image64809,16
827,image59378,13
828,image34667,13
829,image2695,17
830,image78106,13
831,image12651,4
832,image65694,2
833,image17077,12
834,image75495,5
835,image15617,8
836,image24466,4
837,image80122,2
838,image55876,13
839,image22052,13
840,image30433,12
841,image48705,11
842,image59997,13
843,image41823,4
844,image12729,8
845,image28587,2
846,image35215,16
847,image55097,13
848,image31139,17
849,image23558,11
850,image9732,2
851,image60853,13
852,image33759,9
853,image69775,11
854,image37475,0
855,image46865,7
856,image45296,4
857,image7852,17
858,image14265,16
859,image73938,16
860,image20632,1
861,image10149,13
862,image29914,13
863,image38786,15
864,image59166,11
865,image15607,0
866,image24476,2
867,image36017,3
868,image56295,13
869,image73850,12
870,image68317,1
871,image10021,8
872,image2685,0
873,image18394,11
874,image8350,12
875,image26216,3
876,image17067,1
877,image49367,4
878,image23430,16
879,image37465,10
880,image21328,17
881,image60843,3
882,image69765,11
883,image20622,8
884,image58514,4
885,image29904,1
886,image38796,11
887,image66496,1
888,image7842,11
889,image76697,16
890,image67805,12
891,image623,0
892,image48715,3
893,image59987,1
894,image30423,15
895,image22042,3
896,image28597,1
897,image8228,8
898,image41833,14
899,image31129,0
900,image13233,12
901,image9722,12
902,image79564,7
903,image35205,4
904,image12004,17
905,image71875,3
906,image16328,13
907,image34032,17
908,image17622,9
909,image44928,5
910,image35538,4
911,image79259,8
912,image51496,15
913,image49522,10
914,image31614,7
915,image20886,8
916,image50805,1
917,image69058,2
918,image41697,16
919,image33074,2
920,image59723,0
921,image887,16
922,image25739,13
923,image80777,3
924,image36652,4
925,image68552,5
926,image10664,13
927,image19942,4
928,image62087,4
929,image16250,0
930,image42485,5
931,image48150,1
932,image9167,0
933,image79321,0
934,image61295,0
935,image81305,4
936,image25641,5
937,image37220,3
938,image69120,12
939,image2821,11
940,image43816,11
941,image52684,7
942,image32406,16
943,image20067,17
944,image58351,17
945,image65820,13
946,image15052,16
947,image897,1
948,image37348,13
949,image50815,4
950,image41687,16
951,image59733,5
952,image21405,17
953,image33064,1
954,image9996,4
955,image68542,16
956,image58239,5
957,image19952,12
958,image80767,7
959,image34022,4
960,image78743,12
961,image48038,5
962,image51486,13
963,image23265,9
964,image20896,5
965,image17632,17
966,image27149,1
967,image35528,12
968,image11206,13
969,image69130,9
970,image71084,0
971,image81315,1
972,image25651,17
973,image65830,5
974,image43806,13
975,image52694,11
976,image22617,8
977,image30276,13
978,image48140,16
979,image16240,5
980,image5877,5
981,image44840,16
982,image35450,11
983,image9177,4
984,image13466,16
985,image61285,13
986,image62876,16
987,image31961,16
988,image38647,4
989,image40571,2
990,image52110,17
991,image66547,13
992,image45357,12
993,image1546,7
994,image63361,13
995,image60992,2
996,image33698,4
997,image78826,3
998,image19637,0
999,image23499,15
1000,image3326,17
1001,image61501,1
1002,image73160,3
1003,image52889,7
1004,image36927,8
1005,image55156,0
1006,image47537,17
1007,image76746,2
1008,image59856,2
1009,image50770,17
1010,image4218,16
1011,image44725,0
1012,image62713,16
1013,image70372,12
1014,image40409,16
1015,image22972,5
1016,image41103,12
1017,image53562,0
1018,image7172,16
1019,image65755,8
1020,image73018,16
1021,image61479,1
1022,image43763,4
1023,image18245,7
1024,image72512,9
1025,image50608,0
1026,image42269,2
1027,image46145,1
1028,image36937,0
1029,image80812,1
1030,image47527,16
1031,image73170,4
1032,image61511,0
1033,image19627,16
1034,image23489,9
1035,image10901,12
1036,image59846,17
1037,image50760,13
1038,image64337,16
1039,image4370,2
1040,image66557,4
1041,image7983,0
1042,image38657,13
1043,image1556,8
1044,image60982,15
1045,image78836,16
1046,image11592,17
1047,image57726,12
1048,image61469,8
1049,image31190,17
1050,image29024,1
1051,image43773,4
1052,image77324,0
1053,image6468,13
1054,image25924,16
1055,image60163,13
1056,image8291,16
1057,image31809,14
1058,image70362,15
1059,image62703,16
1060,image73991,1
1061,image40419,1
1062,image52078,16
1063,image4208,16
1064,image67125,12
1065,image75544,12
1066,image21391,2
1067,image56469,17
1068,image44008,3
1069,image27879,0
1070,image4535,12
1071,image40324,8
1072,image38012,3
1073,image58290,15
1074,image12924,0
1075,image48908,17
1076,image63534,12
1077,image57163,5
1078,image25780,17
1079,image75279,15
1080,image44991,2
1081,image47362,12
1082,image55703,1
1083,image35581,16
1084,image29719,13
1085,image73735,4
1086,image3573,1
1087,image61354,12
1088,image19062,1
1089,image42544,16
1090,image2079,12
1091,image33954,4
1092,image18568,3
1093,image54209,11
1094,image46668,5
1095,image6355,1
1096,image56511,8
1097,image27901,16
1098,image15183,16
1099,image946,16
1100,image75301,12
1101,image69199,16
1102,image53337,1
1103,image29661,9
1104,image20947,3
1105,image7727,17
1106,image57982,5
1107,image69800,13
1108,image18410,10
1109,image3563,11
1110,image61344,5
1111,image73725,16
1112,image55713,11
1113,image47372,1
1114,image54219,12
1115,image15972,11
1116,image16381,4
1117,image69968,3
1118,image50135,1
1119,image28203,4
1120,image48081,12
1121,image40334,1
1122,image56479,0
1123,image74763,5
1124,image27869,7
1125,image45512,0
1126,image67608,11
1127,image75269,0
1128,image25790,17
1129,image12934,2
1130,image39508,8
1131,image1303,16
1132,image63524,12
1133,image48918,4
1134,image27088,11
1135,image43126,0
1136,image29671,13
1137,image57992,5
1138,image46700,12
1139,image56501,5
1140,image44160,0
1141,image36783,11
1142,image27911,17
1143,image68483,13
1144,image69189,7
1145,image15193,4
1146,image75311,9
1147,image5157,17
1148,image67770,3
1149,image60538,8
1150,image28175,0
1151,image11928,12
1152,image6033,4
1153,image7539,17
1154,image24875,7
1155,image27286,7
1156,image47004,0
1157,image3615,0
1158,image19304,13
1159,image79186,1
1160,image51749,13
1161,image30958,9
1162,image71233,13
1163,image1075,9
1164,image63652,11
1165,image37087,5
1166,image45664,9
1167,image4653,1
1168,image66074,12
1169,image74415,5
1170,image23833,0
1171,image70739,16
1172,image37866,1
1173,image46476,11
1174,image54017,12
1175,image72021,16
1176,image60440,4
1177,image58917,8
1178,image49785,4
1179,image66895,16
1180,image65266,14
1181,image77607,0
1182,image30820,4
1183,image28994,11
1184,image70641,0
1185,image1065,0
1186,image63642,4
1187,image71223,9
1188,image30948,8
1189,image53139,0
1190,image41558,5
1191,image70729,13
1192,image62348,6
1193,image23823,16
1194,image74405,16
1195,image14687,0
1196,image64604,16
1197,image72149,0
1198,image60528,12
1199,image3605,17
1200,image73443,12
1201,image79196,3
1202,image51759,9
1203,image43338,11
1204,image27296,12
1205,image30830,5
1206,image39716,5
1207,image75077,16
1208,image5231,16
1209,image16806,5
1210,image79977,0
1211,image18766,16
1212,image60450,8
1213,image34285,15
1214,image54007,17
1215,image46466,13
1216,image77617,12
1217,image65276,13
1218,image17495,16
1219,image68,4
1220,image43240,4
1221,image29517,2
1222,image494,4
1223,image76420,12
1224,image42077,0
1225,image50416,0
1226,image28720,13
1227,image21806,12
1228,image30694,11
1229,image68941,2
1230,image13084,1
1231,image3040,11
1232,image47651,16
1233,image57450,1
1234,image45031,5
1235,image26840,8
1236,image8906,5
1237,image71466,4
1238,image38521,13
1239,image49931,2
1240,image74240,11
1241,image66621,10
1242,image28658,6
1243,image18123,5
1244,image60215,17
1245,image54642,4
1246,image64139,2
1247,image55348,0
1248,image77052,4
1249,image65433,9
1250,image68839,16
1251,image51064,13
1252,image19429,16
1253,image23687,4
1254,image3138,2
1255,image41265,3
1256,image42896,12
1257,image1758,0
1258,image45149,17
1259,image75632,1
1260,image5474,16
1261,image67253,1
1262,image26938,1
1263,image80385,12
1264,image10296,17
1265,image38459,1
1266,image8916,17
1267,image45021,17
1268,image57440,1
1269,image4016,16
1270,image66631,0
1271,image38531,1
1272,image21816,1
1273,image30684,12
1274,image6676,5
1275,image64051,16
1276,image55220,9
1277,image68951,3
1278,image73216,16
1279,image19541,13
1280,image57538,1
1281,image26928,0
1282,image67243,13
1283,image42886,1
1284,image33496,16
1285,image10286,0
1286,image38449,16
1287,image70004,1
1288,image62465,11
1289,image49859,8
1290,image44453,5
1291,image80395,15
1292,image74328,1
1293,image76548,8
1294,image64129,15
1295,image28648,0
1296,image2422,0
1297,image60205,2
1298,image18133,17
1299,image43415,3
1300,image19439,11
1301,image23697,0
1302,image14833,1
1303,image55358,11
1304,image47739,4
1305,image7204,17
1306,image61683,5
1307,image70811,4
1308,image79737,8
1309,image9571,0
1310,image13060,0
1311,image27437,2
1312,image60389,13
1313,image42093,2
1314,image58747,4
1315,image32010,17
1316,image51861,0
1317,image52292,11
1318,image14026,11
1319,image80219,17
1320,image25257,5
1321,image71482,4
1322,image18926,15
1323,image11600,4
1324,image53798,3
1325,image69536,3
1326,image17234,13
1327,image23663,16
1328,image31202,0
1329,image70969,2
1330,image49134,13
1331,image51080,1
1332,image13118,11
1333,image30708,17
1334,image8103,16
1335,image12412,16
1336,image508,17
1337,image45834,16
1338,image80361,15
1339,image10272,5
1340,image51919,15
1341,image59335,5
1342,image21003,17
1343,image33462,8
1344,image11778,12
1345,image42872,12
1346,image5490,13
1347,image64844,16
1348,image15454,0
1349,image80209,1
1350,image58757,12
1351,image70198,2
1352,image51871,8
1353,image71492,7
1354,image69526,13
1355,image7398,3
1356,image56837,17
1357,image32999,16
1358,image43589,3
1359,image9561,14
1360,image48556,3
1361,image30660,11
1362,image39946,4
1363,image6692,16
1364,image16656,3
1365,image20519,16
1366,image32178,11
1367,image62481,17
1368,image13891,5
1369,image80371,11
1370,image5480,3
1371,image64854,17
1372,image33472,4
1373,image59325,17
1374,image41291,11
1375,image11768,13
1376,image70979,7
1377,image23673,4
1378,image51090,8
1379,image4813,2
1380,image17224,1
1381,image26055,13
1382,image34434,17
1383,image518,1
1384,image45824,13
1385,image72680,8
1386,image22379,15
1387,image8113,3
1388,image35603,8
1389,image24891,4
1390,image9324,2
1391,image78468,11
1392,image1908,2
1393,image48313,3
1394,image30025,1
1395,image16013,10
1396,image76291,9
1397,image75862,5
1398,image225,12
1399,image26768,8
1400,image14673,4
1401,image66090,4
1402,image68669,4
1403,image38390,12
1404,image58112,15
1405,image69363,1
1406,image11055,9
1407,image1091,8
1408,image72824,12
1409,image54812,8
1410,image15379,0
1411,image25402,0
1412,image31457,8
1413,image23036,16
1414,image19298,11
1415,image47198,4
1416,image65282,17
1417,image66871,2
1418,image64788,1
1419,image12247,4
1420,image8756,13
1421,image78510,1
1422,image2283,1
1423,image68711,15
1424,image10427,5
1425,image61837,17
1426,image47801,14
1427,image56693,7
1428,image80534,17
1429,image75083,13
1430,image28970,17
1431,image33237,6
1432,image21656,12
1433,image38380,15
1434,image20234,0
1435,image14663,3
1436,image47969,6
1437,image66080,16
1438,image24118,4
1439,image81156,2
1440,image54802,7
1441,image37073,12
1442,image25412,0
1443,image1081,14
1444,image72834,12
1445,image59408,12
1446,image9334,11
1447,image35613,4
1448,image24881,3
1449,image66919,16
1450,image16003,3
1451,image235,5
1452,image26778,8
1453,image34319,11
1454,image28181,3
1455,image22454,4
1456,image1918,1
1457,image48303,16
1458,image80524,8
1459,image47811,4
1460,image74599,12
1461,image36401,7
1462,image68701,4
1463,image28960,17
1464,image59570,16
1465,image33227,11
1466,image15211,4
1467,image57389,11
1468,image6826,7
1469,image17471,13
1470,image65292,0
1471,image40857,12
1472,image31447,16
1473,image49771,0
1474,image3799,13
1475,image8746,13
1476,image12257,17
1477,image18782,4
1478,image1860,16
1479,image46482,0
1480,image34261,12
1481,image37892,9
1482,image33029,2
1483,image69005,4
1484,image81220,1
1485,image14515,12
1486,image32523,16
1487,image58274,8
1488,image43933,17
1489,image10639,2
1490,image48075,16
1491,image71828,16
1492,image12059,4
1493,image5942,13
1494,image64596,15
1495,image143,7
1496,image35565,16
1497,image47386,13
1498,image44975,4
1499,image62943,4
1500,image3597,17
1501,image23228,1
1502,image31649,11
1503,image19086,3
1504,image9042,12
1505,image79204,13
1506,image76916,8
1507,image67784,16
1508,image81358,0
1509,image15167,13
1510,image21530,10
1511,image48894,5
1512,image59606,0
1513,image50920,1
1514,image39484,0
1515,image24316,5
1516,image36777,11
1517,image44194,13
1518,image26576,4
1519,image54395,1
1520,image71950,16
1521,image78676,16
1522,image49407,2
1523,image23350,0
1524,image38817,13
1525,image17707,9
1526,image153,16
1527,image16365,0
1528,image71838,17
1529,image48065,11
1530,image62953,12
1531,image79214,4
1532,image9052,11
1533,image47396,12
1534,image25774,16
1535,image2914,5
1536,image21458,1
1537,image50848,8
1538,image69015,12
1539,image32533,16
1540,image10629,2
1541,image43923,2
1542,image65915,5
1543,image14505,0
1544,image71940,2
1545,image78666,4
1546,image26566,3
1547,image54385,5
1548,image77595,5
1549,image17717,8
1550,image23340,12
1551,image29695,1
1552,image48884,16
1553,image21520,11
1554,image33141,4
1555,image50930,12
1556,image15177,13
1557,image24306,17
1558,image46940,9
1559,image25131,12
1560,image11566,11
1561,image69650,16
1562,image63385,16
1563,image29831,4
1564,image40595,4
1565,image4384,0
1566,image41906,12
1567,image22177,16
1568,image48620,1
1569,image79451,11
1570,image9617,4
1571,image13306,5
1572,image73184,16
1573,image35330,16
1574,image27751,17
1575,image53586,0
1576,image59053,3
1577,image22996,8
1578,image21365,13
1579,image15732,8
1580,image46838,4
1581,image25049,1
1582,image37428,5
1583,image55953,1
1584,image36122,4
1585,image24543,4
1586,image29949,17
1587,image10114,0
1588,image68222,12
1589,image58559,7
1590,image73965,17
1591,image8265,4
1592,image12774,2
1593,image48758,16
1594,image60197,11
1595,image16458,16
1596,image34742,1
1597,image67848,1
1598,image17152,12
1599,image74923,17
1600,image7196,12
1601,image52915,1
1602,image23505,0
1603,image31164,0
1604,image49252,13
1605,image50784,15
1606,image16530,2
1607,image27741,6
1608,image13316,0
1609,image9607,3
1610,image79441,7
1611,image73194,12
1612,image69640,4
1613,image11576,0
1614,image46950,15
1615,image37540,1
1616,image14350,9
1617,image4394,8
1618,image40585,17
1619,image31995,12
1620,image20707,4
1621,image58431,12
1622,image16448,8
1623,image26333,0
1624,image34752,1
1625,image12764,1
1626,image78033,15
1627,image79539,17
1628,image52905,13
1629,image49242,2
1630,image31174,2
1631,image27639,2
1632,image25059,9
1633,image69738,1
1634,image22986,8
1635,image33714,8
1636,image21375,4
1637,image10104,13
1638,image73975,3
1639,image58549,13
1640,image70386,11
1641,image55943,11
1642,image80017,13
1643,image36132,4
1644,image65025,8
1645,image7602,5
1646,image77444,9
1647,image73768,4
1648,image20862,17
1649,image43013,16
1650,image71891,17
1651,image72262,1
1652,image60603,1
1653,image2024,1
1654,image18535,2
1655,image69925,3
1656,image46635,4
1657,image54254,11
1658,image44055,15
1659,image80793,11
1660,image9962,13
1661,image33090,0
1662,image71108,13
1663,image39545,2
1664,image5062,8
1665,image81299,16
